customer_id,first_name,last_name,date_of_birth,gender,contact_number,email,address,aadhaar_number,pan_number
1,Navya,Bhalla,7/4/1950,Other,4332181960,chopramehul@ramachandran.com,"94, Sibal Nagar, Bhusawal-423511",6155940781,ONxKm6184
2,Renee,Banerjee,12/3/1951,Male,3413164752,lakshay41@hotmail.com,"764, Choudhary Circle
Pimpri-Chinchwad-056413",9537672423,BLzxo8849
3,Hiran,Kumar,5/22/1982,Male,9.10123E+11,ishita01@hotmail.com,"H.No. 462
Agarwal Chowk, Orai 814893",2528809570,dpKff1543
4,Sana,Kibe,5/2/2004,Other,9.18228E+11,riyadugal@sampath-sachar.com,"H.No. 331
Anne Path, Giridih-010310",5183473829,ZAmgg9737
5,Nirvi,Kale,11/30/1972,Female,6701065133,bboase@dewan.com,"10/80
Shetty Zila
Rourkela 773602",6064746872,LVIdV3430
6,Saksham,Balakrishnan,3/20/1952,Male,7882081219,yuvaanbhasin@dasgupta.com,"99/854
Sami Ganj
Mathura 624751",799118384,xskCI2513
7,Renee,Dora,6/6/1990,Male,8084124118,raunak93@garg.com,"H.No. 164
Agarwal Nagar, Bikaner-278680",1128059826,YcwnR2045
8,Nishith,Sama,10/19/1955,Male,8692322602,qsuresh@hotmail.com,"160
Choudhry Chowk
Jaunpur-433036",5414586850,qcgMB1429
9,Shray,Sethi,4/27/2002,Other,6981693406,tejaskale@salvi.org,"48/465, Sarin Marg, Begusarai 366299",4680443699,RnGEY5777
10,Yashvi,Shah,5/8/1960,Male,1489513433,bajajnirvaan@ramaswamy-varghese.com,"93/676
Borah Ganj, Aligarh-328708",3172788957,CkVEC9868
11,Pranay,Sheth,8/18/1965,Other,4873471434,hrishita12@gmail.com,"23/166
Madan Path
Vijayanagaram-366909",6705466889,BFbyv3734
12,Oorja,Sane,2/12/2003,Other,2729806990,dbir@bakshi.biz,"55, Dewan Marg, Nizamabad 708053",1003309232,DSqXx7193
13,Ivan,Raman,2/16/1990,Other,1241904966,rajagopalanprisha@dara.com,"H.No. 86, Banerjee Path
Ahmedabad 716572",6284987769,rCpWD4531
14,Jiya,Ramaswamy,4/10/1994,Male,5075273545,ivana08@gmail.com,"67/837, Kapur Chowk
Tiruchirappalli 363495",7885685574,UmuhV4431
15,Heer,Singh,10/9/1995,Other,9.13375E+11,taranchakraborty@yahoo.com,"H.No. 00, Dhingra Circle
Pallavaram 094777",5204711671,ZKtfp9022
16,Fateh,Mallick,10/28/2000,Female,9993867749,jiya90@hotmail.com,"34/123, Majumdar Street
Sangli-Miraj & Kupwad 679740",3447134936,rjedk1832
17,Vritika,Dube,4/18/1989,Male,9471746488,mbaria@gmail.com,"40/13
Raj, Agartala-278742",9671756551,sQzWJ2567
18,Armaan,Karan,10/18/1954,Male,4516808760,misha77@chaudry.net,"71
Rau Nagar
Kozhikode-808613",1712748467,jymMG7378
19,Siya,Wable,2/3/1958,Male,9.14658E+11,alialuthra@yahoo.com,"86/75
Sarkar Ganj, Aurangabad 360576",6270289517,UjAPj1870
20,Dhanuk,Keer,12/26/2001,Male,5961586578,dalalmohanlal@dhawan.com,"17/240, Gaba Nagar, Durg-562386",9222196937,OqDqQ9237
21,Aayush,Yogi,7/24/2003,Male,4821759464,kiaan67@gmail.com,"59/44
Thakkar Nagar
Panipat-909743",9533942104,Uifsu7095
22,Siya,Johal,10/3/1960,Other,9.12859E+11,kaurdhanuk@gmail.com,"51/60
Loyal Road
Malda-496513",7098593174,ctFhg6120
23,Miraan,Wali,5/20/1985,Other,9.16759E+11,arhaan53@yahoo.com,"H.No. 15, Yohannan Circle, Ghaziabad-431713",9005329318,vXjYM3933
24,Aarav,Devi,8/26/1958,Male,9.18421E+11,chahalprerak@gmail.com,"11/77
Kunda Path
Bidhannagar-908470",766177115,rNOLJ9212
25,Riya,Gaba,9/22/1974,Other,8478961183,owali@yahoo.com,"61
Kala Path, Rohtak 271111",6152809885,UdsMt1656
